,Date,New_Confirmed,New_Deaths,New_Recovered,Confirmed,Deaths,Recovered,Active Cases
0,2020-01-23,99.0,1.0,2.0,654,18,30.0,606.0
1,2020-01-24,287.0,8.0,6.0,941,26,36.0,879.0
2,2020-01-25,493.0,16.0,3.0,1434,42,39.0,1353.0
3,2020-01-26,684.0,14.0,13.0,2118,56,52.0,2010.0
4,2020-01-27,809.0,26.0,9.0,2927,82,61.0,2784.0
5,2020-01-28,2651.0,49.0,46.0,5578,131,107.0,5340.0
6,2020-01-29,589.0,2.0,18.0,6167,133,125.0,5909.0
7,2020-01-30,2068.0,38.0,16.0,8235,171,141.0,7923.0
8,2020-01-31,1692.0,42.0,78.0,9927,213,219.0,9495.0
9,2020-02-01,2111.0,46.0,62.0,12038,259,281.0,11498.0
10,2020-02-02,4749.0,103.0,178.0,16787,362,459.0,15966.0
11,2020-02-03,3100.0,64.0,145.0,19887,426,604.0,18857.0
12,2020-02-04,4011.0,66.0,217.0,23898,492,821.0,22585.0
13,2020-02-05,3745.0,72.0,250.0,27643,564,1071.0,26008.0
14,2020-02-06,3160.0,70.0,347.0,30803,634,1418.0,28751.0
15,2020-02-07,3532.0,85.0,485.0,34335,719,1903.0,31713.0
16,2020-02-08,2734.0,87.0,567.0,37069,806,2470.0,33793.0
17,2020-02-09,3027.0,100.0,587.0,40096,906,3057.0,36133.0
18,2020-02-10,2538.0,107.0,657.0,42634,1013,3714.0,37907.0
19,2020-02-11,2042.0,100.0,703.0,44676,1113,4417.0,39146.0
20,2020-02-12,378.0,5.0,432.0,45054,1118,4849.0,39087.0
21,2020-02-13,15153.0,253.0,1081.0,60207,1371,5930.0,52906.0
22,2020-02-14,6484.0,152.0,1683.0,66691,1523,7613.0,57555.0
23,2020-02-15,2075.0,143.0,1289.0,68766,1666,8902.0,58198.0
24,2020-02-16,2114.0,104.0,1417.0,70880,1770,10319.0,58791.0
25,2020-02-17,1936.0,98.0,1632.0,72816,1868,11951.0,58997.0
26,2020-02-18,1794.0,140.0,1742.0,74610,2008,13693.0,58909.0
27,2020-02-19,421.0,115.0,1701.0,75031,2123,15394.0,57514.0
28,2020-02-20,547.0,123.0,1975.0,75578,2246,17369.0,55963.0
29,2020-02-21,629.0,4.0,597.0,76207,2250,17966.0,55991.0
30,2020-02-22,1761.0,207.0,3883.0,77968,2457,21849.0,53662.0
31,2020-02-23,323.0,10.0,455.0,78291,2467,22304.0,53520.0
32,2020-02-24,564.0,160.0,1743.0,78855,2627,24047.0,52181.0
33,2020-02-25,853.0,80.0,2605.0,79708,2707,26652.0,50349.0
34,2020-02-26,963.0,60.0,2425.0,80671,2767,29077.0,48827.0
35,2020-02-27,1360.0,43.0,2842.0,82031,2810,31919.0,47302.0
36,2020-02-28,1385.0,57.0,3387.0,83416,2867,35306.0,45243.0
37,2020-02-29,1893.0,69.0,3008.0,85309,2936,38314.0,44059.0
38,2020-03-01,2383.0,54.0,2894.0,87692,2990,41208.0,43494.0
39,2020-03-02,1978.0,89.0,2877.0,89670,3079,44085.0,42506.0
40,2020-03-03,2583.0,75.0,2596.0,92253,3154,46681.0,42418.0
41,2020-03-04,2317.0,95.0,2938.0,94570,3249,49619.0,41702.0
42,2020-03-05,2764.0,93.0,2618.0,97334,3342,52237.0,41755.0
43,2020-03-06,4000.0,112.0,2033.0,101334,3454,54270.0,43610.0
44,2020-03-07,4062.0,99.0,2490.0,105396,3553,56760.0,45083.0
45,2020-03-08,3960.0,244.0,2332.0,109356,3797,59092.0,46467.0
46,2020-03-09,3963.0,184.0,1799.0,113319,3981,60891.0,48447.0
47,2020-03-10,5011.0,280.0,1911.0,118330,4261,62802.0,51267.0
48,2020-03-11,7681.0,343.0,2311.0,126011,4604,65113.0,56294.0
49,2020-03-12,5789.0,306.0,1321.0,131800,4910,66434.0,60456.0
50,2020-03-13,14381.0,497.0,1925.0,146181,5407,68359.0,72415.0
51,2020-03-14,11078.0,420.0,2370.0,157259,5827,70729.0,80703.0
52,2020-03-15,11293.0,641.0,3410.0,168552,6468,74139.0,87945.0
53,2020-03-16,14744.0,678.0,2053.0,183296,7146,76192.0,99958.0
54,2020-03-17,15931.0,811.0,2752.0,199227,7957,78944.0,112326.0
55,2020-03-18,19527.0,903.0,2483.0,218754,8860,81427.0,128467.0
56,2020-03-19,27156.0,1113.0,1637.0,245910,9973,83064.0,152873.0
57,2020-03-20,30635.0,1481.0,2445.0,276545,11454,85509.0,179582.0
