,Date,New_Confirmed_7,New_Deaths_7,New_Recovered_7,Confirmed,Deaths,Recovered,Active Cases
0,2020-01-29,5612.0,116.0,97.0,6167,133,125.0,5909.0
1,2020-01-30,7581.0,153.0,111.0,8235,171,141.0,7923.0
2,2020-01-31,8986.0,187.0,183.0,9927,213,219.0,9495.0
3,2020-02-01,10604.0,217.0,242.0,12038,259,281.0,11498.0
4,2020-02-02,14669.0,306.0,407.0,16787,362,459.0,15966.0
5,2020-02-03,16960.0,344.0,543.0,19887,426,604.0,18857.0
6,2020-02-04,18320.0,361.0,714.0,23898,492,821.0,22585.0
7,2020-02-05,21476.0,431.0,946.0,27643,564,1071.0,26008.0
8,2020-02-06,22568.0,463.0,1277.0,30803,634,1418.0,28751.0
9,2020-02-07,24408.0,506.0,1684.0,34335,719,1903.0,31713.0
10,2020-02-08,25031.0,547.0,2189.0,37069,806,2470.0,33793.0
11,2020-02-09,23309.0,544.0,2598.0,40096,906,3057.0,36133.0
12,2020-02-10,22747.0,587.0,3110.0,42634,1013,3714.0,37907.0
13,2020-02-11,20778.0,621.0,3596.0,44676,1113,4417.0,39146.0
14,2020-02-12,17411.0,554.0,3778.0,45054,1118,4849.0,39087.0
15,2020-02-13,29404.0,737.0,4512.0,60207,1371,5930.0,52906.0
16,2020-02-14,32356.0,804.0,5710.0,66691,1523,7613.0,57555.0
17,2020-02-15,31697.0,860.0,6432.0,68766,1666,8902.0,58198.0
18,2020-02-16,30784.0,864.0,7262.0,70880,1770,10319.0,58791.0
19,2020-02-17,30182.0,855.0,8237.0,72816,1868,11951.0,58997.0
20,2020-02-18,29934.0,895.0,9276.0,74610,2008,13693.0,58909.0
21,2020-02-19,29977.0,1005.0,10545.0,75031,2123,15394.0,57514.0
22,2020-02-20,15371.0,875.0,11439.0,75578,2246,17369.0,55963.0
23,2020-02-21,9516.0,727.0,10353.0,76207,2250,17966.0,55991.0
24,2020-02-22,9202.0,791.0,12947.0,77968,2457,21849.0,53662.0
25,2020-02-23,7411.0,697.0,11985.0,78291,2467,22304.0,53520.0
26,2020-02-24,6039.0,759.0,12096.0,78855,2627,24047.0,52181.0
27,2020-02-25,5098.0,699.0,12959.0,79708,2707,26652.0,50349.0
28,2020-02-26,5640.0,644.0,13683.0,80671,2767,29077.0,48827.0
29,2020-02-27,6453.0,564.0,14550.0,82031,2810,31919.0,47302.0
30,2020-02-28,7209.0,617.0,17340.0,83416,2867,35306.0,45243.0
31,2020-02-29,7341.0,479.0,16465.0,85309,2936,38314.0,44059.0
32,2020-03-01,9401.0,523.0,18904.0,87692,2990,41208.0,43494.0
33,2020-03-02,10815.0,452.0,20038.0,89670,3079,44085.0,42506.0
34,2020-03-03,12545.0,447.0,20029.0,92253,3154,46681.0,42418.0
35,2020-03-04,13899.0,482.0,20542.0,94570,3249,49619.0,41702.0
36,2020-03-05,15303.0,532.0,20318.0,97334,3342,52237.0,41755.0
37,2020-03-06,17918.0,587.0,18964.0,101334,3454,54270.0,43610.0
38,2020-03-07,20087.0,617.0,18446.0,105396,3553,56760.0,45083.0
39,2020-03-08,21664.0,807.0,17884.0,109356,3797,59092.0,46467.0
40,2020-03-09,23649.0,902.0,16806.0,113319,3981,60891.0,48447.0
41,2020-03-10,26077.0,1107.0,16121.0,118330,4261,62802.0,51267.0
42,2020-03-11,31441.0,1355.0,15494.0,126011,4604,65113.0,56294.0
43,2020-03-12,34466.0,1568.0,14197.0,131800,4910,66434.0,60456.0
44,2020-03-13,44847.0,1953.0,14089.0,146181,5407,68359.0,72415.0
45,2020-03-14,51863.0,2274.0,13969.0,157259,5827,70729.0,80703.0
46,2020-03-15,59196.0,2671.0,15047.0,168552,6468,74139.0,87945.0
47,2020-03-16,69977.0,3165.0,15301.0,183296,7146,76192.0,99958.0
48,2020-03-17,80897.0,3696.0,16142.0,199227,7957,78944.0,112326.0
49,2020-03-18,92743.0,4256.0,16314.0,218754,8860,81427.0,128467.0
50,2020-03-19,114110.0,5063.0,16630.0,245910,9973,83064.0,152873.0
51,2020-03-20,130364.0,6047.0,17150.0,276545,11454,85509.0,179582.0
52,2020-03-21,151255.0,7346.0,19046.0,308514,13173,89775.0,205566.0
53,2020-03-22,174223.0,8379.0,21851.0,342775,14847,95990.0,231939.0
54,2020-03-23,202858.0,9643.0,20264.0,386154,16789,96456.0,272910.0
55,2020-03-24,228434.0,11114.0,27053.0,427661,19071,105997.0,302600.0
56,2020-03-25,259932.0,13011.0,30018.0,478686,21871,111445.0,345377.0
57,2020-03-26,295449.0,14918.0,36740.0,541359,24891,119804.0,396671.0
58,2020-03-27,329845.0,16930.0,42999.0,606390,28384,128508.0,449505.0
