,date,confirmed_male,deceased_male,confirmed_female,deceased_female,Events
0,2020-03-02,1591,13,2621,9,Lockdown
1,2020-03-03,1810,16,3002,12,
2,2020-03-04,1996,20,3332,12,
3,2020-03-05,2149,21,3617,14,
4,2020-03-06,2345,25,3939,17,
5,2020-03-07,2522,26,4245,18,
6,2020-03-08,2694,29,4440,20,
7,2020-03-09,2799,31,4583,20,
8,2020-03-10,2852,33,4661,21,
9,2020-03-11,2947,35,4808,25,
10,2020-03-12,2994,38,4875,28,
11,2020-03-13,3043,39,4936,28,
12,2020-03-14,3100,41,4986,31,
13,2020-03-15,3136,41,5026,34,
14,2020-03-16,3169,41,5067,34,
15,2020-03-17,3200,44,5120,37,
16,2020-03-18,3240,45,5173,39,
17,2020-03-19,3296,49,5269,42,
18,2020-03-20,3330,51,5322,43,
19,2020-03-21,3387,54,5412,48,
20,2020-03-22,3430,55,5467,49,
21,2020-03-23,3457,58,5504,53,
22,2020-03-24,3497,60,5540,60,
23,2020-03-25,3550,64,5587,62,
24,2020-03-26,3598,68,5643,63,
25,2020-03-27,3638,75,5694,64,
26,2020-03-28,3736,77,5742,67,
27,2020-03-29,3799,78,5784,74,
28,2020-03-30,3834,80,5827,78,
29,2020-03-31,3905,82,5881,80,
30,2020-04-01,3946,84,5941,81,
31,2020-04-02,3979,87,5997,82,
32,2020-04-03,4013,92,6049,82,
33,2020-04-04,4052,94,6104,83,
34,2020-04-05,4098,97,6139,86,
35,2020-04-06,4118,98,6166,88,
36,2020-04-07,4138,101,6193,91,
37,2020-04-08,4163,106,6221,94,
38,2020-04-09,4185,107,6238,97,
39,2020-04-10,4200,109,6250,99,
40,2020-04-11,4215,111,6265,100,
41,2020-04-12,4229,113,6283,101,
42,2020-04-13,4243,115,6294,102,
43,2020-04-14,4256,116,6308,106,
44,2020-04-15,4266,118,6325,107,
45,2020-04-16,4272,122,6341,107,
46,2020-04-17,4286,122,6349,108,Restrictions relaxed
47,2020-04-18,4293,124,6360,108,
48,2020-04-19,4297,124,6364,110,
49,2020-04-20,4302,125,6372,111,
50,2020-04-21,4308,125,6375,112,
51,2020-04-22,4314,126,6380,112,
52,2020-04-23,4318,127,6384,113,
53,2020-04-24,4323,127,6385,113,
54,2020-04-25,4327,127,6391,113,
55,2020-04-26,4333,127,6395,115,
56,2020-04-27,4337,127,6401,116,
57,2020-04-28,4344,128,6408,116,
58,2020-04-29,4348,129,6413,117,
59,2020-04-30,4352,130,6413,117,
60,2020-05-01,4356,130,6418,118,
61,2020-05-02,4362,130,6418,120,
62,2020-05-03,4369,130,6424,120,
63,2020-05-04,4375,131,6426,121,
64,2020-05-05,4377,131,6427,123,
65,2020-05-06,4379,132,6427,123,
66,2020-05-07,4382,133,6428,123,
67,2020-05-08,4389,133,6433,123,
68,2020-05-09,4406,133,6434,123,
69,2020-05-10,4430,133,6444,123,
70,2020-05-11,4461,133,6448,123,
71,2020-05-12,4481,133,6455,125,
72,2020-05-13,4499,134,6463,125,
73,2020-05-14,4516,135,6475,125,
74,2020-05-15,4532,135,6486,125,
75,2020-05-16,4544,136,6493,126,
76,2020-05-17,4549,136,6501,126,
77,2020-05-18,4560,137,6505,126,
78,2020-05-19,4569,137,6509,126,
79,2020-05-20,4592,137,6518,126,Initial Opening
80,2020-05-21,4601,138,6521,126,
81,2020-05-22,4616,138,6526,126,
82,2020-05-23,4628,140,6537,126,
83,2020-05-24,4643,140,6547,126,
84,2020-05-25,4651,141,6555,126,
85,2020-05-26,4664,142,6561,127,
86,2020-05-27,4680,142,6585,127,
87,2020-05-28,4727,142,6617,127,Restrictions reinitiated
88,2020-05-29,4759,142,6643,127,
89,2020-05-30,4780,142,6661,127,
90,2020-05-31,4795,143,6673,127,
91,2020-06-01,4806,143,6697,128,
92,2020-06-02,4829,144,6712,128,
93,2020-06-03,4852,145,6738,128,
94,2020-06-04,4872,145,6757,128,
95,2020-06-05,4893,145,6775,128,
96,2020-06-06,4920,145,6799,128,
97,2020-06-07,4950,145,6826,128,
98,2020-06-08,4962,145,6852,128,
99,2020-06-09,4980,146,6872,128,
100,2020-06-10,5002,147,6900,129,
101,2020-06-11,5030,147,6917,129,
102,2020-06-12,5061,147,6942,130,
103,2020-06-13,5081,147,6970,130,
104,2020-06-14,5097,147,6988,130,
105,2020-06-15,5116,147,7005,130,
106,2020-06-16,5138,148,7017,130,
107,2020-06-17,5156,149,7042,130,
108,2020-06-18,5181,150,7076,130,
109,2020-06-19,5206,150,7100,130,
110,2020-06-20,5245,150,7128,130,
111,2020-06-21,5270,150,7151,130,
112,2020-06-22,5279,150,7159,130,
113,2020-06-23,5314,150,7170,131,
114,2020-06-24,5345,150,7190,131,
115,2020-06-25,5360,151,7203,131,
116,2020-06-26,5384,151,7218,131,
117,2020-06-27,5412,151,7241,131,
118,2020-06-28,5450,151,7265,131,
119,2020-06-29,5470,151,7287,131,
120,2020-06-30,5495,151,7305,131,
