,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
0,AK,8431.0,434554.0,442869.0,,3502.0,56.0,,442985,2020-09-27,Alaska,61.370716,-152.404419
1,AL,152321.0,975685.0,1111239.0,16852.0,64583.0,2501.0,16852.0,1128006,2020-09-27,Alabama,32.806671,-86.79113
2,AR,81242.0,861892.0,940627.0,5235.0,72602.0,1308.0,5235.0,943134,2020-09-27,Arkansas,34.969704,-92.373123
3,AS,0.0,1571.0,1571.0,,,0.0,,1571,2020-09-27,American Samoa,-14.2,-170.69
4,AZ,217237.0,1230608.0,1443323.0,22015.0,34872.0,5623.0,22015.0,1447845,2020-09-27,Arizona,33.729759,-111.431221
5,CA,802308.0,13531190.0,14333498.0,,,15587.0,,14333498,2020-09-27,California,36.116203,-119.681564
6,CO,68510.0,814332.0,1295655.0,7520.0,6424.0,1940.0,7520.0,882842,2020-09-27,Colorado,39.059811,-105.311104
7,CT,56587.0,1462564.0,1519151.0,11560.0,9310.0,4501.0,11560.0,1519151,2020-09-27,Connecticut,41.597782,-72.755371
8,DC,15250.0,365909.0,381159.0,,12037.0,624.0,,381159,2020-09-27,District of Columbia,38.897438,-77.026817
9,DE,20260.0,261764.0,282024.0,,10557.0,633.0,,282024,2020-09-27,Delaware,39.318523,-75.507141
10,FL,700564.0,4552877.0,5253441.0,44030.0,,14202.0,44030.0,5257442,2020-09-27,Florida,27.766279,-81.686783
11,GA,314685.0,2571584.0,2886269.0,28179.0,,6946.0,28179.0,2886269,2020-09-27,Georgia,33.040619,-83.643074
12,GU,2354.0,46365.0,48719.0,,1668.0,43.0,,48719,2020-09-27,Guam,13.45,144.78
13,HI,12018.0,279639.0,291657.0,802.0,10126.0,131.0,802.0,291657,2020-09-27,Hawaii,21.094318,-157.498337
14,IA,83636.0,670987.0,754623.0,,65838.0,1314.0,,754623,2020-09-27,Iowa,42.011539,-93.210526
15,ID,40296.0,264485.0,301206.0,1811.0,21468.0,460.0,1811.0,304781,2020-09-27,Idaho,44.240459,-114.478828
16,IL,290419.0,5191580.0,5481999.0,,,8845.0,,5481999,2020-09-27,Illinois,40.349457,-88.986137
17,IN,117450.0,1241410.0,1358860.0,12596.0,92552.0,3580.0,12596.0,1358860,2020-09-27,Indiana,39.849426,-86.258278
18,KS,56592.0,446178.0,502770.0,2816.0,2039.0,632.0,2816.0,502770,2020-09-27,Kansas,38.5266,-96.726486
19,KY,66491.0,1216560.0,1274688.0,5193.0,11750.0,1157.0,5193.0,1283051,2020-09-27,Kentucky,37.66814,-84.670067
20,LA,166075.0,2117074.0,2283149.0,,149640.0,5465.0,,2283149,2020-09-27,Louisiana,31.169546,-91.867805
21,MA,130642.0,2064199.0,3881846.0,12645.0,111479.0,9404.0,12645.0,2194841,2020-09-27,Massachusetts,42.230171,-71.530106
22,MD,123403.0,1470960.0,1594363.0,15398.0,7463.0,3935.0,15398.0,1594363,2020-09-27,Maryland,39.063946,-76.802101
23,ME,5288.0,415908.0,421196.0,445.0,4567.0,140.0,445.0,421196,2020-09-27,Maine,44.693947,-69.381927
24,MI,134373.0,3408684.0,3543057.0,,95051.0,7044.0,,3543057,2020-09-27,Michigan,43.326618,-84.536095
25,MN,96734.0,1287778.0,1981100.0,7493.0,86252.0,2060.0,7493.0,1384512,2020-09-27,Minnesota,45.694454,-93.900192
26,MO,123406.0,1174700.0,1298106.0,,,2063.0,,1298106,2020-09-27,Missouri,38.456085,-92.288368
27,MP,70.0,14776.0,14846.0,4.0,29.0,2.0,4.0,14846,2020-09-27,Northern Mariana Islands,15.09,145.67
28,MS,96859.0,634036.0,730895.0,5607.0,85327.0,2919.0,5607.0,730895,2020-09-27,Mississippi,32.741646,-89.678696
29,MT,12107.0,318200.0,330307.0,687.0,8779.0,173.0,687.0,330307,2020-09-27,Montana,46.921925,-110.454353
30,NC,207380.0,2771348.0,2978728.0,,176422.0,3441.0,,2978728,2020-09-27,North Carolina,35.630066,-79.806419
31,ND,20724.0,216894.0,600067.0,815.0,16727.0,156.0,815.0,237618,2020-09-27,North Dakota,47.528912,-99.784012
32,NE,43596.0,401533.0,445129.0,2279.0,32584.0,469.0,2279.0,445129,2020-09-27,Nebraska,41.12537,-98.268082
33,NH,8121.0,257257.0,422591.0,734.0,7379.0,439.0,734.0,265378,2020-09-27,New Hampshire,43.452492,-71.563896
34,NJ,203548.0,3309718.0,3513266.0,23327.0,34650.0,16109.0,23327.0,3513266,2020-09-27,New Jersey,40.298904,-74.521011
35,NM,28692.0,871245.0,899937.0,3435.0,16211.0,870.0,3435.0,899937,2020-09-27,New Mexico,34.840515,-106.248482
36,NV,78728.0,610228.0,688956.0,,2075.0,1585.0,,688956,2020-09-27,Nevada,38.313515,-117.055374
37,NY,455626.0,10052560.0,10508186.0,89995.0,76595.0,25456.0,89995.0,10508186,2020-09-27,New York,42.165726,-74.948051
38,OH,150809.0,2920378.0,3071187.0,15216.0,130193.0,4741.0,15216.0,3071187,2020-09-27,Ohio,40.388783,-82.764915
39,OK,83510.0,1075475.0,1158985.0,6252.0,69754.0,1004.0,6252.0,1165638,2020-09-27,Oklahoma,35.565342,-96.928917
40,OR,32820.0,638670.0,671490.0,2496.0,5490.0,547.0,2496.0,671490,2020-09-27,Oregon,44.572021,-122.070938
41,PA,156150.0,1845070.0,2001220.0,,127290.0,8106.0,,2001220,2020-09-27,Pennsylvania,40.590752,-77.209755
42,PR,46304.0,305972.0,352276.0,,,644.0,,352276,2020-09-27,Puerto Rico,18.22,-66.3
43,RI,24181.0,305853.0,727469.0,2725.0,2278.0,1107.0,2725.0,330034,2020-09-27,Rhode Island,41.680893,-71.51178
44,SC,145887.0,1106651.0,1252538.0,9043.0,70028.0,3326.0,9043.0,1252538,2020-09-27,South Carolina,33.856892,-80.945007
45,SD,21541.0,165963.0,187504.0,1473.0,17533.0,218.0,1473.0,187504,2020-09-27,South Dakota,44.299782,-99.438828
46,TN,192995.0,2639541.0,2832536.0,8577.0,175143.0,2377.0,8577.0,2832536,2020-09-27,Tennessee,35.747845,-86.692345
47,TX,735132.0,5281775.0,6016907.0,,652376.0,15522.0,,6016907,2020-09-27,Texas,31.054487,-97.563461
48,UT,70615.0,740634.0,811249.0,3729.0,54201.0,453.0,3729.0,811249,2020-09-27,Utah,40.150032,-111.862434
49,VA,146144.0,1864395.0,2003129.0,18311.0,17443.0,3159.0,18311.0,2010804,2020-09-27,Virginia,37.769337,-78.169968
